," [Z1Light , false]"," [Z1Light , true]"," [Z2Light , false]"," [Z2Light , true]"," [Z1Blinds , false] ","[Z1Blinds , true]","[Z2Blinds , false]","[Z2Blinds , true]"
2201101,0,0,0,0,0,0,0,0
2201102,0,0,0,0,0,0,0,0
2201103,0,0,0,0,0,0,0,0
2201110,0,0,0,0,0,0,0,0
2201111,0,0,0,0,0,0,0,0
2201112,0,0,0,0,0,0,0,0
2201113,0,0,0,0,0,0,0,0
2210000,0,0,0,0,0,0,0,0
2210001,0,0,0,0,0,0,0,0
2210002,0,0,0,0,0,0,0,0
2210003,0,0,0,0,0,0,0,0
2210010,0,0,0,0,0,0,0,0
2210011,0,0,0,0,0,0,0,0
2210012,0,0,0,0,0,0,0,0
2210013,0,0,0,0,0,0,0,0
